allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,bff,,0%,59/100g,20%,13%,7%,60%,wet,,0.0%,3.0%,2.0%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Duck,Tapioca Starch,Sunflower Oil,Natural Flavor,Guar Gum,Calcium Sulfate,Celery Extract,Coconut Oil,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Tuna & Duck Dilly Dally,[3],,
,bff,,0%,63/100g,25%,13%,6%,56%,wet,,0.0%,4.0%,2.0%,1.0%,84.0%,9.0%,"Tuna Broth,Tuna,Duck,Tapioca Starch,Sunflower Oil,Guar Gum,Calcium Sulfate,Tricalcium Phosphate,Potassium Chloride,Celery Powder,Salt,Vitamin E Supplement,Ferrous Sulfate,Niacin Supplement,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Taurine,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Manganese Sulfate,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Biotin,Copper Amino Acid Complex,Sodium Selenite,Folic Acid,Menadione Sodium Bisulfite Complex (source Of Vitamin K3),Potassium Iodide",[2],Tuna & Duck Devour Me,[3],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Chicken (boneless,Skinless Breast),Sunflower Seed Oil,Calcium Lactate,Locust Bean Gum,Guar Gum,Choline Chloride,Tricalcium Phosphate,Potassium Chloride,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Riboflavin Supplement (vitamin B2),Potassium Iodide,Folic Acid,Copper Sulfate,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement",[3],Tuna & Chicken Chuckles,[4],,
,bff,,0%,66/100g,18%,12%,6%,65%,wet,,0.0%,3.0%,2.0%,1.0%,83.0%,11.0%,"Tuna Broth,Tuna,Chicken,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Calcium Sulfate,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride,Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[4],Tuna & Chicken Chill Out,[4],,
,bff,,0%,70/100g,22%,11%,6%,61%,wet,,0.0%,4.0%,2.0%,1.0%,82.0%,11.0%,"Tuna Broth,Tuna,Chicken,Sardine,Dried Egg,Natural Flavor,Calcium Sulfate,Guar Gum,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Chicken Check Please!,[4],,
,bff,,0%,59/100g,20%,13%,7%,60%,wet,,0.0%,3.0%,2.0%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Chicken,Sunflower Oil,Tapioca Starch,Natural Flavor,Calcium Sulfate,Guar Gum,Celery Extract,Coconut Oil,Taurine,Tricalcium Phosphate,Salt,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Tuna & Chicken Chase Me,[3],,
,bff,,0%,56/100g,24%,9%,7%,60%,wet,,0.0%,3.6%,1.4%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Chicken,Tapioca Starch,Sunflower Oil,Guar Gum,Calci Um Sulfate,Tricalcium Phosphate,Potassium Chloride,Celery Powder,Salt,Vitamin E Supplement,Ferrous Sulfate,Niacin Supplement,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Taurine,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Manganese Sulfate,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Biotin,Copper Amino Acid Complex,Sodium Selenite,Folic Acid,Menadione Sodium Bisulfite Complex (source Of Vitamin K3),Potassium Iodide",[2],Tuna & Chicken Charm Me,[4],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Chicken (boneless,Skinless Breast),Potato Starch,Sunflower Seed Oil,Calcium Lactate,Xanthan Gum,Choline Chloride,Tricalcium Phosphate,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Copper Sulfate,Folic Acid,Potassium Iodide,Vitamin D3 Supplement,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Biotin,Vitamin B12 Supplement",[3],Tuna & Chicken 4eva,[4],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Sunflower Seed Oil,Bonito,Calcium Lactate,Locust Bean Gum,Guar Gum,Tricalcium Phosphate,Potassium Chloride,Choline Chloride,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Riboflavin Supplement (vitamin B2),Folic Acid,Copper Sulfate,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement",[3],Tuna & Bonito Be Mine,[4],,
,bff,,0%,70/100g,22%,11%,6%,61%,wet,,0.0%,4.0%,2.0%,1.0%,82.0%,11.0%,"Tuna Broth,Tuna,Beef,Sardine,Dried Egg,Natural Flavor,Guar Gum,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Beef Bodacious,[4],,
,bff,,0%,66/100g,18%,12%,6%,65%,wet,,0.0%,3.0%,2.0%,1.0%,83.0%,11.0%,"Tuna Broth,Tuna,Beef,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[4],Tuna & Beef Blast Off!,[4],,
,bff,,0%,59/100g,20%,13%,7%,60%,wet,,0.0%,3.0%,2.0%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Beef,Tapioca Starch,Sunflower Oil,Natural Flavor,Calcium Sulfate,Guar Gum,Celery Extract,Coconut Oil,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Tuna & Beef Belly Rubs,[3],,
,bff,,0%,57/100g,23%,10%,7%,60%,wet,,0.0%,3.5%,1.5%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Beef,Tapioca Starch,Sunflower Oil,Guar Gum,Calcium Sulfate,Tricalcium Phosphate,Potassium Chloride,Celery Powder,Salt,Vitamin E Supplement,Ferrous Sulfate,Niacin Supplement,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Taurine,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Manganese Sulfate,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Biotin,Copper Amino Acid Complex,Sodium Selenite,Folic Acid,Menadione Sodium Bisulfite Complex (source Of Vitamin K3),Potassium Iodide",[2],Tuna & Beef Baby Cakes,[3],,
,bff,,0%,64/100g,20%,20%,7%,53%,wet,,0.0%,3.0%,3.0%,1.0%,85.0%,8.0%,"Lamb Broth,Lamb,Tuna,Natural Flavor,Potato Starch,Guar Gum,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Shazaam!,[3],,
,bff,,0%,59/100g,11%,22%,7%,59%,wet,,0.0%,1.5%,3.0%,1.0%,86.5%,8.0%,"Chicken Broth,Chicken,Tuna,Natural Flavor,Potato Starch,Guar Gum,Calcium Lactate,Tricalcium Phosphate,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Seeya Sooner!,[4],,
,bff,,0%,66/100g,24%,12%,6%,59%,wet,,0.0%,4.0%,2.0%,1.0%,83.0%,10.0%,"Salmon Broth,Salmon,Tuna,Sardine,Dried Egg,Natural Flavor,Calcium Sulfate,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Potassium Chloride,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Salmon & Tuna Tuck Me In,[4],,
,bff,,0%,59/100g,11%,22%,7%,59%,wet,,0.0%,1.5%,3.0%,1.0%,86.5%,8.0%,"Chicken Broth,Chicken,Tuna,Turkey,Salmon,Natural Flavor,Potato Starch,Guar Gum,Calcium Lactate,Tricalcium Phosphate,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Purr-fect Plannin'!,[4],,
,bff,,0%,66/100g,24%,12%,6%,59%,wet,,0.0%,4.0%,2.0%,1.0%,83.0%,10.0%,"Lamb Broth,Lamb,Tuna,Sardine,Dried Egg,Natural Flavor,Locust Bean Gum,Xanthan Gum,Guar Gum,Potassium Chloride,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Lamb & Tuna Told Ya',[4],,
,bff,,0%,66/100g,24%,12%,6%,59%,wet,,0.0%,4.0%,2.0%,1.0%,83.0%,10.0%,"Duck Broth,Duck,Tuna,Sardine,Dried Egg,Natural Flavor,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Vitamin E Supplement,Potassium Chloride,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Duck & Tuna Trickster,[4],,
,bff,,0%,71/100g,18%,18%,6%,59%,wet,,0.0%,3.0%,3.0%,1.0%,83.0%,10.0%,"Duck Broth,Duck,Tuna,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Potassium Chloride,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Duck & Tuna Tap Dance,[4],,
,bff,,0%,54/100g,19%,15%,7%,59%,wet,,0.0%,2.5%,2.0%,1.0%,86.5%,8.0%,"Duck Broth,Duck,Tuna,Natural Flavor,Potato Starch,Guar Gum,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Duck & Tuna Lots-o-luck!,[3],,
,bff,,0%,55/100g,17%,16%,7%,59%,wet,,0.0%,2.3%,2.2%,1.0%,86.5%,8.0%,"Duck Broth,Duck,Tuna,Salmon,Natural Flavor,Potato Starch,Guar Gum,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Date Nite!,[4],,
,bff,,0%,56/100g,15%,19%,7%,59%,wet,,0.0%,2.0%,2.5%,1.0%,86.5%,8.0%,"Chicken Broth,Chicken,Tuna,Shrimp,Natural Flavor,Potato Starch,Guar Gum,Calcium Lactate,Tricalcium Phosphate,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Ciao Baby!,[4],,
,bff,,0%,68/100g,31%,19%,6%,44%,wet,,0.0%,5.0%,3.0%,1.0%,84.0%,7.0%,"Chicken,Chicken Broth,Duck,Turkey,Dried Egg,Natural Flavor,Guar Gum,Locust Bean Gum,Xanthan Gum,Potassium Chloride,Calcium Sulfate,Taurine,Vitamin E Supplement,Choline Chloride,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Reduced Iron,Niacin Supplement (vitamin B3),Vitamin A Supplement,Sodium Selenite,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Vitamin D3 Supplement,Potassium Iodide,Biotin",[4],"Chicken, Duck & Turkey Take A Chance",[3],,
,bff,,0%,68/100g,31%,19%,6%,44%,wet,,0.0%,5.0%,3.0%,1.0%,84.0%,7.0%,"Chicken,Chicken Broth,Dried Egg,Natural Flavor,Coconut Oil,Calcium Sulfate,Guar Gum,Locust Bean Gum,Xanthan Gum,Potassium Chloride,Taurine,Tricalcium Phosphate,Vitamin E Supplement,Choline Chloride,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Reduced Iron,Niacin Supplement (vitamin B3),Vitamin A Supplement,Sodium Selenite,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Vitamin D3 Supplement,Potassium Iodide,Biotin",[3],Chicken Cherish,[3],,
,bff,,0%,64/100g,27%,20%,7%,47%,wet,,0.0%,4.0%,3.0%,1.0%,85.0%,7.0%,"Chicken,Chicken Broth,Natural Flavor,Tapioca Starch,Guar Gum,Potassium Chloride,Tricalcium Phosphate,Celery Powder,Choline Chloride,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Reduced Iron,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Sodium Selenite,Vitamin A Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Vitamin D3 Supplement,Biotin Supplement",[2],Chicken Cloud 9,[3],,
,bff,,0%,68/100g,31%,19%,6%,44%,wet,,0.0%,5.0%,3.0%,1.0%,84.0%,7.0%,"Chicken,Chicken Broth,Dried Egg,Natural Flavor,Calcium Sulfate,Guar Gum,Locust Bean Gum,Xanthan Gum,Potassium Chloride,Taurine,Vitamin E Supplement,Zinc Oxide,Choline Chloride,Thiamine Mononitrate (vitamin B1),Reduced Iron,Tricalcium Phosphate,Niacin Supplement (vitamin B3),Vitamin A Supplement,Sodium Selenite,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Vitamin D3 Supplement,Potassium Iodide,Biotin",[3],Chicken Checkmate,[3],,
,bff,,0%,64/100g,27%,20%,7%,47%,wet,,0.0%,4.0%,3.0%,1.0%,85.0%,7.0%,"Chicken,Chicken Broth,Natural Flavor,Tapioca Starch,Guar Gum,Coconut Oil,Potassium Chloride,Tricalcium Phosphate,Celery Powder,Choline Chloride,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Reduced Iron,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Sodium Selenite,Vitamin A Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Vitamin D3 Supplement,Biotin Supplement",[2],Chicken Charge Me Up,[3],,
,bff,,0%,68/100g,31%,19%,6%,44%,wet,,0.0%,5.0%,3.0%,1.0%,84.0%,7.0%,"Chicken,Chicken Broth,Turkey,Dried Egg,Natural Flavor,Calcium Sulfate,Guar Gum,Locust Bean Gum,Xanthan Gum,Potassium Chloride,Taurine,Vitamin E Supplement,Tricalcium Phosphate,Choline Chloride,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Reduced Iron,Niacin Supplement (vitamin B3),Vitamin A Supplement,Sodium Selenite,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Vitamin D3 Supplement,Potassium Iodide,Biotin",[3],Chicken & Turkey Topsy Turvy,[3],,
,bff,,0%,68/100g,31%,19%,6%,44%,wet,,0.0%,5.0%,3.0%,1.0%,84.0%,7.0%,"Chicken,Chicken Broth,Turkey,Dried Egg,Natural Flavor,Coconut Oil,Calcium Sulfate,Guar Gum,Locust Bean Gum,Xanthan Gum,Potassium Chloride,Taurine,Tricalcium Phosphate,Vitamin E Supplement,Choline Chloride,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Reduced Iron,Niacin Supplement (vitamin B3),Vitamin A Supplement,Sodium Selenite,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Vitamin D3 Supplement,Potassium Iodide,Biotin",[3],Chicken & Turkey Tiptoe,[3],,
,bff,,0%,64/100g,27%,20%,7%,47%,wet,,0.0%,4.0%,3.0%,1.0%,85.0%,7.0%,"Chicken,Chicken Broth,Turkey,Natural Flavor,Tapioca Starch,Coconut Oil,Guar Gum,Potassium Chloride,Tricalcium Phosphate,Celery Powder,Choline Chloride,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Reduced Iron,Thiamine Mononitrate (vitamin B1),Magnesium Sulfate,Niacin Supplement (vitamin B3),Sodium Selenite,Vitamin A Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Vitamin D3 Supplement,Biotin Supplement",[3],Chicken & Turkey Text Me,[3],,
,bff,,0%,56/100g,15%,19%,7%,59%,wet,,0.0%,2.0%,2.5%,1.0%,86.5%,8.0%,"Chicken Broth,Chicken,Tuna,Turkey,Natural Flavor,Potato Starch,Guar Gum,Calcium Lactate,Tricalcium Phosphate,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E Supplement,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Chicken & Turkey Qt Patootie!,[4],,
,bff,,0%,71/100g,18%,18%,6%,59%,wet,,0.0%,3.0%,3.0%,1.0%,83.0%,10.0%,"Chicken Broth,Chicken,Tuna,Sardine,Dried Egg,Natural Flavor,Calcium Sulfate,Coconut Oil,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Potassium Chloride,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Chicken & Tuna Tubular,[4],,
,bff,,0%,66/100g,24%,12%,6%,59%,wet,,0.0%,4.0%,2.0%,1.0%,83.0%,10.0%,"Chicken Broth,Chicken,Tuna,Sardine,Dried Egg,Calcium Sulfate,Natural Flavor,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Potassium Chloride,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Chicken & Tuna Til' Then,[4],,
,bff,,0%,64/100g,27%,20%,7%,47%,wet,,0.0%,4.0%,3.0%,1.0%,85.0%,7.0%,"Chicken,Chicken Broth,Salmon,Natural Flavor,Tapioca Starch,Guar Gum,Potassium Chloride,Celery Powder,Tricalcium Phosphate,Choline Chloride,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Reduced Iron,Thiamine Mononitrate (vitamin B1),Niacin Supplement (vitamin B3),Sodium Selenite,Vitamin A Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Folic Acid,Vitamin B12 Supplement,Potassium Iodide,Vitamin D3 Supplement,Biotin Supplement",[2],Chicken & Salmon Stir It Up,[3],,
